TEXTE,fr,eng
TITRE,D'où vient notre impact environnemental lorsque nous jouons ?,Where does our environmental impact come from when we play?
SOUS-TITRE,Les jeux de société et les jeux vidéos,Board games and video games
START,Appuyez sur l'écran pour commencer !,Press the screen to start!
CHARGEMENT,Chargement...,Loading...
JEU VIDEO,Jeu vidéo,Video game
JEU DE SOCIETE,Jeu de société,Board game
CONTRIBUTIONS LABEL,Contribution,Contribution
CYCLE DE VIE,Par étape de cycle de vie,Per life cycle step
PAR EQUIPEMENT,Par équipement,Per equipment
INDICATEURS LABEL,Indicateur,Indicator
CHANGEMENT CLIMATIQUE,Changement climatique,Climate change
METAUX,Ressources minérales et métalliques,Metallic and mineral resources
PARTICULES FINES,Particules fines,Particulate matter
SCENARIO LABEL,Scénario,Scenario
TELEPHONE,Téléphone (smartphone),Phone (smartphone)
CONSOLE,Console,Console
PORTABLE,Ordinateur portable,Laptop
FIXE,Ordinateur de bureau,Desktop computer
CLOUD,Cloud gaming,Cloud gaming
PETIT JEU,Petit format,Small format
JEU MOYEN,Format moyen,Medium-size format
GRAND JEU,Grand format,Large format
INTRO,"Quelles sont les pratiques de jeu vidéo et de jeu de société qui ont le plus d'impact sur l'environnement ? 
D'où vient cet impact environnemental ?","Which video game and board game scenario have the greatest impact on the environment?
Where this environmental impact comes from?"
ACV,"Pour calculer l'impact environnemental d'un produit, on évalue son cycle de vie :
1. Sa Fabrication (qui contient l'extraction des matériaux)
2. Son Transport,
3. Son Utilisation, et
4. Sa Fin de vie.","To calculate the environmental impact of a product, we assess its life cycle:
1. Production phase (includes material extraction),
2. Transport phase,
3. Use phase, and
4. End-of-life phase."
HISTOGRAMME JV,"Plus la barre est haute, plus l'impact sur le changement climatique de la pratique de jeu vidéo est élevé.","The higher the bar, the greater the environmental impact of the video game practice."
HISTOGRAMME JDS,"Ici, on compare l'impact sur le changement climatique de trois tailles de boîte de jeu de société.","Here, we compare the impact on climate change of three board game box sizes."
INDICATEURS,"On peut calculer l'impact environnemental sur différents indicateurs comme :

- le changement climatique, 
- l'utilisation des ressources minérales et métalliques,
- les particules fines,

Et bien d'autres !","The environmental impact can be calculated on different indicators such as :

- climate change, 
- use of mineral and metal resources,
- particulate matter.

And many others !"
INDICATEURS 2,"Plus d'infos sur les trois indicateurs choisis :

- le changement climatique : donne la quantité de gaz à effet de serre produite lors d'une activité qui vient de l'utilisation d'énergies fossiles utilisées pour extraire les matériaux qui composent nos produits.
 
- l'utilisation des ressources minérales et métalliques : informe sur la quantité de minéraux et métaux nécessaire pour la fabrication de nos équipements de jeux.

- les particules fines : informent sur le nombre de cas maladie qu'il y a eu liés à notre activité. Les particules fines viennent de la combustion de bois ou d'énergies fossiles et peuvent véhiculer des composés chimiques dangereux pour la santé.","Find out more about the three chosen indicators:

- climate change: gives the quantity of greenhouse gases produced during an activity, which comes from the use of fossil fuels to extract the materials that make up our products. 

- use of mineral and metal resources: provides information on the quantity of minerals and metals required to manufacture our play equipment.

- particulate matter: provide information on the number of cases of illness linked to an activity. Particulate matter comes from the combustion of wood or fossil fuels and can carry chemical compounds hazardous to health.

They are the three most important indicators on the planetary boundaries for video games. The are chosen for board games as well for coherence of the vizualisation."
