treemap,scenario,etage_1,etage_2,etage_3,case,contribution,explication
Jeu vidéo,Changement climatique,Jouer sur console,Fabrication de la,Console,0.126,par étape de cycle de vie,"La fabrication des équipements (console, ordinateur, télévision, écran, smartphone, ...) est l'étape du cycle de vie qui a le plus d'impact sur le changement climatique, lorsque nous jouons."
Jeu vidéo,Changement climatique,Jouer sur console,Fabrication de la,Télévision,0.022839,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur console,Transport de la,Console,0,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur console,Transport de la,Télévision,0.000331,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur console,Utilisation de la,Console,0.0112,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur console,Utilisation de la,Télévision,0.008275,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur console,Fin de vie de la,Console,0.0028,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur console,Fin de vie de la,Télévision,0.001655,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur console,Connection internet,Fabrication,0.003430000,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur console,Connection internet,Transport,0.000000000,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur console,Connection internet,Utilisation,0.003570000,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur console,Connection internet,Fin de vie,0.000143000,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur console,Datacenters,Fabrication,0.000126000,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur console,Datacenters,Transport,0.000006210,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur console,Datacenters,Utilisation,0.000072500,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur console,Datacenters,Fin de vie,0.000002070,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur ordinateur portable,Fabrication de,L'Ordinateur portable,0.069524000000000,par étape de cycle de vie,"Pour réduire notre impact, il est indispensable de garder nos équipements le plus longtemps possible et d'éviter d'acheter des équipements neufs."
Jeu vidéo,Changement climatique,Jouer sur ordinateur portable,Transport de,L'Ordinateur portable,0.003820000000000,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur ordinateur portable,Utilisation de,L'Ordinateur portable,0.002292000000000,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur ordinateur portable,Fin de vie de,L'Ordinateur portable,0.000764000000000,par étape de cycle de vie,
Jeu vidéo,Changement climatique,Jouer sur ordinateur portable,Connection internet,Fabrication,0.003430000,par étape de cycle de vie,
